ls,min_temp,max_temp,pressure,storming
135,-77.0,-10.0,727.0,False
135,-77.0,-10.0,728.0,False
134,-76.0,-16.0,729.0,False
134,-77.0,-13.0,729.0,False
133,-78.0,-18.0,730.0,False
133,-78.0,-14.0,730.0,False
132,-78.0,-13.0,731.0,False
132,-77.0,-16.0,731.0,False
131,-76.0,-16.0,732.0,False
131,-76.0,-19.0,732.0,False
130,-76.0,-15.0,734.0,False
130,-77.0,-18.0,735.0,False
129,-76.0,-12.0,735.0,False
129,-76.0,-16.0,736.0,False
128,-77.0,-14.0,737.0,False
128,-78.0,-14.0,738.0,False
127,-77.0,-21.0,740.0,False
127,-78.0,-14.0,740.0,False
126,-78.0,-15.0,740.0,False
126,-77.0,-14.0,741.0,False
125,-77.0,-21.0,742.0,False
125,-79.0,-14.0,744.0,False
124,-77.0,-21.0,745.0,False
124,-77.0,-17.0,745.0,False
123,-78.0,-22.0,747.0,False
123,-80.0,-25.0,748.0,False
122,-77.0,-23.0,749.0,False
122,-79.0,-15.0,750.0,False
121,-78.0,-20.0,751.0,False
121,-78.0,-18.0,752.0,False
120,-78.0,-19.0,751.0,False
120,-79.0,-20.0,753.0,False
119,-78.0,-22.0,754.0,False
119,-80.0,-21.0,755.0,False
118,-78.0,-28.0,756.0,False
118,-78.0,-27.0,757.0,False
117,-77.0,-20.0,758.0,False
117,-77.0,-19.0,759.0,False
116,-78.0,-20.0,760.0,False
116,-78.0,-24.0,762.0,False
116,-80.0,-22.0,763.0,False
115,-79.0,-20.0,764.0,False
115,-80.0,-21.0,765.0,False
114,-79.0,-21.0,766.0,False
114,-78.0,-23.0,767.0,False
113,-79.0,-24.0,768.0,False
113,-79.0,-22.0,770.0,False
112,-79.0,-24.0,770.0,False
112,-79.0,-26.0,771.0,False
111,-78.0,-24.0,773.0,False
111,-79.0,-24.0,774.0,False
110,-80.0,-24.0,775.0,False
110,-79.0,-19.0,777.0,False
109,-78.0,-21.0,777.0,False
109,-77.0,-23.0,778.0,False
108,-79.0,-24.0,780.0,False
108,-78.0,-19.0,781.0,False
108,-77.0,-25.0,782.0,False
107,-77.0,-26.0,783.0,False
107,-77.0,-18.0,784.0,False
106,-80.0,-19.0,786.0,False
106,-79.0,-22.0,787.0,False
105,-78.0,-23.0,788.0,False
105,-78.0,-21.0,790.0,False
104,-79.0,-27.0,791.0,False
104,-80.0,-25.0,791.0,False
103,-79.0,-22.0,792.0,False
103,-80.0,-23.0,794.0,False
102,-80.0,-27.0,795.0,False
102,-79.0,-28.0,796.0,False
101,-79.0,-29.0,798.0,False
101,-79.0,-23.0,799.0,False
101,-80.0,-22.0,800.0,False
100,-79.0,-27.0,801.0,False
100,-78.0,-25.0,803.0,False
99,-79.0,-27.0,804.0,False
99,-81.0,-28.0,806.0,False
98,-81.0,-25.0,807.0,False
98,-81.0,-23.0,808.0,False
97,-81.0,-27.0,810.0,False
97,-80.0,-27.0,811.0,False
96,-79.0,-23.0,812.0,False
96,-78.0,-29.0,814.0,False
96,-79.0,-28.0,815.0,False
95,-79.0,-25.0,816.0,False
95,-81.0,-29.0,817.0,False
94,-80.0,-25.0,819.0,False
